task_name,index,prompt,answer,attribute
ko_quiz_1,0,'우겨넣다'와 '욱여넣다'어떤 것이 맞는 말?,가방에 신발을 욱여넣었다. ,
ko_quiz_1,1,'귀뜸'과 '귀띔'어떤 것이 맞는 말?,귀띔이라도 해주지 그랬어. ,
ko_quiz_1,2,'달맏이'와 '달마지'와 '달맞이'어떤 것이 맞는 말?,정월 대보름 달맞이 행사가 열린다. ,
ko_quiz_1,3,'새벽녁'과 '새벽녘'어떤 것이 맞는 말?,새벽녘에 서리가 내렸다. ,
ko_quiz_1,4,'베갯잎'과 '베갯잇'어떤 것이 맞는 말?,베갯잇을 눈물로 적시다.,
ko_quiz_1,5,'뾰쪽뾰쪽'과 '뾰쭉뾰쭉'어떤 것이 맞는 말?,뾰쪽뾰쪽 솟은 날카로운 바위.,
ko_quiz_1,6,'알은 체'와 '아는 체'어떤 것이 맞는 말?,그가 나를 알은체하며 지나갔다.,
ko_quiz_1,7,'챙피'와 '창피'어떤 것이 맞는 말?,네 얼굴 보기가 창피하다.,
ko_quiz_1,8,'껍질'과 '껍데기'어떤 것이 맞는 말?,달걀 껍데기는 따로 버려요. ,
ko_quiz_1,9,'쌓인'과 '쌓여진'어떤 것이 맞는 말?,낙엽이 쌓인 거리를 혼자 걸었다.,
ko_quiz_1,10,'구레나룻'과 '구렛나루'어떤 것이 맞는 말?,구레나룻은 매력적이다.,
ko_quiz_1,11,'짜투리'와 '자투리'어떤 것이 맞는 말?,자투리 나무로 만드는 소품,
ko_quiz_1,12,'있다가'와 '이따가'어는 것이 맞는 말?,집에 있다가 나왔어요.,
ko_quiz_1,13,'통째로'와 '통채로'어떤 것이 맞는 말?,닭 한 마리가 통째로 들어간 삼계탕,
ko_quiz_1,14,'내디뎠다'와 '내딛었다'어떤 것이 맞는 말?,힘찬 발걸음을 내디뎠다.,
ko_quiz_1,15,'교통양'과 '교통량'어떤 것이 맞는 말?,그 구역은 교통량이 밀집되었다.,
ko_quiz_1,16,'새다'와 '세다'어떤 것이 맞는 말?,낡은 지붕에서 비가 새다.,
ko_quiz_1,17,'가까히'와 '가까이'어떤 것이 맞는 말?,두 시간 가까이 기다렸다. ,
ko_quiz_1,18,'반드시'와 '반듯이'와 '반듯히'어떤 것이 맞는 말?,자세를 반듯이 해 보세요. ,
ko_quiz_1,19,'아는 대로'와 '아는 데로'어떤 것이 맞는 말?,아는 대로 모두 말해.,
ko_quiz_1,20,'날름'과 '낼름'어떤 것이 맞는 말?,혀를 날름 내미는 버릇.,
ko_quiz_1,21,'고깝다'와 '꼬깝다'어떤 것이 맞는 말?,괜히 고까운 생각이 들더라.,
ko_quiz_1,22,'자욱'과 '자국'어떤 것이 맞는 말?,얼굴에 눈물 자국이 선명하다.,
ko_quiz_1,23,'낚지'와 '낙지'어떤 것이 맞는 말?,낙지 요리를 시켰다. ,
ko_quiz_1,24,'감기가 나아서'와 '감기가 낳아서'어떤 것이 맞는 말?,감기가 나아서 살 것 같다.,
