id,question,answer,category,select1,select2,select3,select4
14d22301d66544c899a24934aa758982,'우겨넣다'와 '욱여넣다'어떤 것이 맞는 말?,가방에 신발을 욱여넣었다. ,알쏭달쏭 우리말,가방에 신발을 욱여넣었다. ,가방에 신발을 우겨넣었다. ,,
0f40453d58694be488742b60393117e0,'귀뜸'과 '귀띔'어떤 것이 맞는 말?,귀띔이라도 해주지 그랬어. ,알쏭달쏭 우리말,귀띔이라도 해주지 그랬어. ,귀뜸이라도 해주지 그랬어. ,,
a5f49e1030204549a633cad2e6e66776,'달맏이'와 '달마지'와 '달맞이'어떤 것이 맞는 말?,정월 대보름 달맞이 행사가 열린다. ,알쏭달쏭 우리말,정월 대보름 달맞이 행사가 열린다. ,정월 대보름 달맏이 행사가 열린다. ,정월 대보름 달마지 행사가 열린다. ,
8df2cb8da0cc4583bf7a690816f1f0cb,'새벽녁'과 '새벽녘'어떤 것이 맞는 말?,새벽녘에 서리가 내렸다. ,알쏭달쏭 우리말,새벽녘에 서리가 내렸다. ,새벽녁에 서리가 내렸다. ,,
cc1752dc5d094c7a895cfb70111629f5,'베갯잎'과 '베갯잇'어떤 것이 맞는 말?,베갯잇을 눈물로 적시다.,알쏭달쏭 우리말,베갯잇을 눈물로 적시다.,,,
eb02e3d47d6f4869b2a18d9de557c692,'뾰쪽뾰쪽'과 '뾰쭉뾰쭉'어떤 것이 맞는 말?,뾰쪽뾰쪽 솟은 날카로운 바위.,알쏭달쏭 우리말,뾰쪽뾰쪽 솟은 날카로운 바위.,,,
0a3b19008b0346daade7dd1def82d21d,'알은 체'와 '아는 체'어떤 것이 맞는 말?,그가 나를 알은체하며 지나갔다.,알쏭달쏭 우리말,그가 나를 알은체하며 지나갔다.,,,
88a400f8b15b4c638e36a91a81dd310d,'챙피'와 '창피'어떤 것이 맞는 말?,네 얼굴 보기가 창피하다.,알쏭달쏭 우리말,네 얼굴 보기가 창피하다.,,,
546fee8953584781a8b8581c1bf08251,올바른 표기는?,풍비박산이 났다.,알쏭달쏭 우리말,풍비박산이 났다.,,,
4d9833c643024e3f8e51d5020b4f712b,'껍질'과 '껍데기'어떤 것이 맞는 말?,달걀 껍데기는 따로 버려요. ,알쏭달쏭 우리말,달걀 껍데기는 따로 버려요. ,달걀 껍질은 따로 버려요. ,,
30ac7cbf6b94445f876631313cc958a2,'쌓인'과 '쌓여진'어떤 것이 맞는 말?,낙엽이 쌓인 거리를 혼자 걸었다.,알쏭달쏭 우리말,낙엽이 쌓인 거리를 혼자 걸었다.,,,
fcd6ee4d173740a284850c7e2e24b501,'구레나룻'과 '구렛나루'어떤 것이 맞는 말?,구레나룻은 매력적이다.,알쏭달쏭 우리말,구레나룻은 매력적이다.,,,
